ID,Keyword,Source,URL,Title,Subtitle,Summary,Rating,MemberOnly,Date,Reactions (number format),Sentiment Analysis
11,chatgpt AND code,Medium,https://medium.com/generative-ai/next-week-openai-will-change-software-forever-31fac826c70c,"Next week, OpenAI Will Change Software Forever",Welcome to the era of on-demand utility software,"Our digital landscape is about to undergo an amazing metamorphosis: software as we have come to understand it, will change forever.",1800,True,,1800,Positive
12,chatgpt AND code,Medium,https://medium.com/artificial-corner/i-used-chatgpt-at-work-for-6-months-heres-how-to-10x-your-productivity-11abe5bf0487,I Used ChatGPT (At Work) for 6 Months. Here’s How to 10X Your Productivity,ChatGPT can help automate the most boring parts of anyone’s job.,"ChatGPT is more than your personal assistant. It’s a tool that can make you super productive at work! However, most of us only scratch the surface of what ChatGPT can truly offer.",1700,True,,1700,Positive
13,ai code assistants,Medium,https://steve-yegge.medium.com/were-gonna-need-a-bigger-moat-478a8df6a0d2,We’re Gonna Need a Bigger Moat,,"Everyone making SaaS on LLMs, including coding assistants like Cody and Copilot, was rocked by the AI news events of last week.",1400,False,,1400,Positive
14,chatgpt AND code,Medium,https://frank-andrade.medium.com/how-i-plan-to-make-money-using-chatgpt-and-other-ai-tools-in-2023-9fdea20b1ba5,How I Plan to Make Money Using ChatGPT (And Other AI Tools) in 2023,Don’t miss the AI revolution. Make the most of it.,Probably 2023 is going to be the year that many entrepreneurs and freelancers will make a lot of money thanks to Artificial Intelligence (AI).,1400,True,,1400,Positive
15,ai code assistants,Medium,https://link.medium.com/CNqsR0xCqY,"Attention, Dialogue, and Learning Reusable Patterns",,"Rasa Core is an open source machine learning-based dialogue system for building level 3 contextual AI assistants. In version 0.11, we shipped our new embedding policy (REDP), which is much better at dealing with uncooperative users than our standard LSTM (Rasa users will know this as the KerasPolicy). We’re presenting a paper on it at NeurIPS, and this post explains the problem that REDP solves and how it works.",1300,False,,1300,Positive
16,chatgpt AND code,Medium,https://somacdivad.medium.com/chatgpt-is-an-extra-ordinary-python-programmer-386a4081a504?source=read_next_recirc---two_column_layout_sidebar------0---------------------bf747e5e_f4d8_46a1_9a4d_c8abd1e414fe-------,ChatGPT Is an Extra-Ordinary Python Programmer,"Not extraordinary. Extra-ordinary. As in, its ordinariness abounds.",I like ChatGPT. A lot. It’s the best digital writing assistant I’ve ever used.,1200,True,,1200,Positive
17,codewhisperer,Medium,https://medium.com/geekculture/360-it-check-49-standardizing-open-banking-amazon-vs-github-and-more-f1a5462f5812,"360° IT Check #49 — Standardizing Open Banking, Amazon vs GitHub, And More!",,"4th of July. The anniversary of the ratification of the Declaration of Independence. On this day, we wish all the best to all our friends and partners from the USA.",1200,False,,1200,Positive
18,chatgpt AND code,Medium,https://medium.com/artificial-corner/chatgpts-code-interpreter-was-just-released-here-s-how-it-will-change-data-science-forever-b1581c452f47,ChatGPT’s Code Interpreter Was Just Released. Here’s How It Will Change Data Science Forever.,"Upload datasets, generate reports, and download them in seconds!","The best ChatGPT plugin was just released — code interpreter. This plugin allows us to upload data, write/execute Python code, do data analysis, generate reports, and even download the code and reports generated in .ipynb and pdf format respectively.",1200,True,,1200,Positive
19,ai code assistants,Medium,https://medium.com/@bedigisure/free-ai-content-generator-11ef7cbb2aa0,16 Best Free AI Content Generator & AI Writers For 2023,,Free AI Writer & AI-Based Content Generator: Free Tools And Trials To Generate Articles Updated in July 2023,1100,False,,1100,Positive
20,copilot,Medium,https://medium.com/microsoft-design/behind-the-design-meet-copilot-2c68182a0e70,Behind-the-Design: Meet Copilot,,When the system is the product; on crafting the next generation of user experiences,1000,False,"Apr 03, 2023",1000,Positive
21,chatgpt AND code,Medium,https://asimzaidi.medium.com/how-chatgpt-transforms-code-testing-ee5a26385cc4,How ChatGPT Transforms Code Testing,A Deep Dive into ChatGPT’s Capabilities,"A
h, ChatGPT. Our AI compadre of the hour. It’s the talk of the town, with everyone and their grandma having some form of opinion. Sure, it’s a hoot to banter with, but I’m here to showcase a serious application. How it can save you precious minutes and prevent impending hair loss induced by stress. So, roll up your sleeves and don your spectacles, let’s dig in!",906,True,,906,Positive
22,ai code assistants,Medium,https://melihyumak.medium.com/ai-in-web-development-comprehensive-guide-922f834e5ed9?source=user_profile---------1----------------------------,AI in Web Development: Comprehensive Guide,,"Have you ever imagined coding with a colleague who never sleeps, doesn’t take coffee breaks and diligently does the heavy lifting without a word of complaint? This might sound like a utopia for developers and many another people, but with the advent of artificial intelligence, it’s becoming our reality.",905,True,,905,Positive
23,tabnine,Medium,https://melihyumak.medium.com/tabnine-an-ai-code-completion-tool-that-helps-you-write-better-code-faster-50edab4c6e2b,Tabnine: An AI Code Completion Tool That Helps You Write Better Code Faster,,Tabnine is an AI code completion tool that helps developers write code faster and more efficiently. It works by analyzing the code that you are currently typing and suggesting relevant code snippets. Tabnine can also suggest refactorings to improve the code quality and maintainability of your codebase.,855,True,,855,Positive
24,copilot,Medium,https://jamonholmgren.medium.com/getting-the-most-from-github-copilot-8f7b32014748?source=author_recirc-----c4d4b81477e1----0----------------------------,Getting the most from GitHub Copilot,AI coding assistants are in vogue right now. How do you get the most from them?,"When GitHub Copilot was released, I immediately tried it out. The claims seemed too good to be true.",825,False,"Nov 30, 2022",825,Positive
25,ai code assistants,Medium,https://anupamchugh.medium.com/7-exciting-vs-code-extensions-released-in-january-2022-dccf1ec77629,7 Exciting VS Code Extensions Released in January 2022,From code assistants to utilities — and a few more,Visual Studio Code’s marketplace is a great place to share your own extensions as well as try out the ones published by other creators.,809,False,,809,Positive
26,ai code assistants,Medium,https://medium.com/towards-data-science/how-to-build-your-own-ai-personal-assistant-using-python-f57247b4494b,How to build your own AI personal assistant using Python,Guide to build your AI assistant:,An AI personal assistant is a piece of software that understands verbal or written commands and completes task assigned by the client. It is an example of weak AI that is it can only execute and perform quest designed by the user.,808,True,,808,Positive
27,ai code assistants,Medium,https://erickleppen.medium.com/how-to-create-your-own-writing-assistant-app-using-python-bc9265b8e5ea?source=user_profile---------12----------------------------,How To Create Your Own Writing Assistant App Using Python,Use Dash and HuggingFace to build a powerful blogging tool,"Writing assistants powered by “artificial intelligence” that claim to make you a better blogger by automatically producing content have exploded in popularity. They are often utilizing massive language models created through machine learning, like GPT-3 by OpenAI.",795,True,,795,Positive
28,copilot,Medium,https://medium.com/@woody1193/my-first-experience-with-github-copilot-x-a-programmers-perspective-351582b6f8e6,My First Experience with GitHub Copilot X: A Programmer’s Perspective,,"As a software engineer, I’m always on the lookout for tools and technologies that can help me work more efficiently. Recently, I had the opportunity to try out GitHub Copilot X, an AI-powered coding assistant that uses machine learning to suggest code snippets and autocomplete suggestions as you write code. I was excited to see what this new tool could do, and I was curious to see how it would integrate into my workflow. In this article, I’ll share my experience using GitHub Copilot X for the first time and offer my thoughts on whether or not it’s worth adding to your own toolkit.",791,False,"Apr 18, 2023",791,Positive
29,chatgpt AND code,Medium,https://john-moriarty.medium.com/design-in-the-age-of-chatgpt-3c80e6fc8cf7,Designing in the age of ChatGPT,"Disruption, opportunities, and the evolving role of design.","The tweet above refers to ChatGPT-4, which was released on March 14th. Unless you have been living under a rock, you have probably heard about or even used ChatGPT 3 or 4. ChatGPT is the interface to Open AI’s GPT (Generative Pre-trained Transformer) large language model (or LLM), currently in its fourth iteration. ChatGPT is one of a number of language models that are related to the image, video, and sound generation models such as Midjourney and Dall-E that all fall under the umbrella term of generative AI.",784,False,,784,Positive
30,chatgpt AND code,Medium,https://medium.com/@ramaswamis/chatgpt-the-one-coding-prompt-you-need-can-135709d13a6e,ChatGPT: The One Coding Prompt You Need — ‘CAN’,,CAN stands for Do Anything Now.,760,True,,760,Positive
31,chatgpt AND code,Medium,https://arslanmirza.medium.com/all-chatgpt-prompts-in-1-article-2efbacdfa24c,All ChatGPT Prompts in 1 Article,Create Your Perfect ChatGPT Prompt,"Let’s set the record straight and dive into the world of ChatGPT prompts, exploring their intricacies and unlocking the secrets to crafting exceptional queries!",754,True,,754,Positive
32,chatgpt AND code,Medium,https://medium.com/@smraiyyan/chatgpt-code-interpreter-launches-next-week-here-are-10-mind-blowing-use-cases-c20ce9be3824,ChatGPT Code Interpreter Released: Here are 10 Mind-blowing Use Cases,"You can now ask ChatGPT to analyze data, create charts, edit files, perform math, etc.",1. It can easily create all kinds of graphs,752,True,,752,Positive
33,chatgpt AND code,Medium,https://buzzedison.medium.com/automated-code-generation-apples-chatgpt-competitor-can-write-code-on-your-behalf-579567fb553b,Automated Code Generation: Apple’s ChatGPT Competitor Can Write Code on Your Behalf,,"Unveiling Apple’s Potential: AI Chatbots Reshape the Landscape with ChatGPT and Bing Chat Dominance, While Apple Quietly Prepares Its Game-Changing Move",747,True,,747,Positive
34,copilot,Medium,https://medium.com/@jankammerath/copilot-leaks-code-i-should-not-have-seen-e4bda9b33ba6,Copilot Leaks: Code I Should Not Have Seen,,"I am using Github Copilot for some months now and am absolutely impressed by the code it can produce, although that always needs to be cross examined and reviewed. You can’t trust it blindly. My experience is that Copilot quite often produces things like division by zero and other obvious code issues. However, what struck me the most in the past is the amount of possibly private information it is giving me.",736,True,"May 21, 2023",736,Positive
35,chatgpt AND code,Medium,https://medium.com/artificial-corner/google-bards-new-image-recognition-means-serious-competition-to-chatgpt-here-are-6-best-use-cases-55d69eae1b27,Google Bard’s New Image Recognition Means Serious Competition to ChatGPT. Here Are 6 Best Use Cases,This new feature might make you switch to Bard.,Recently Google added a new cool feature to Bard — image recognition.,700,True,,700,Positive
36,chatgpt AND code,Medium,https://nitinfab.medium.com/the-chatgpt-mistake-everyones-making-here-s-how-to-be-in-the-top-1-c787697b5d21,The ChatGPT Mistake Everyone’s Making: Here’s How to Be in the Top 1%,Learn prompt engineering and the underlying concepts to fully understand how ChatGPT works.,"While everyone else is clamoring over GPT-4, I’m taking a step back to remind you of the true powerhouse that is behind this OpenAI product.",684,True,,684,Positive
37,ai code assistants,Medium,https://alexandregonfalonieri.medium.com/how-amazon-alexa-works-your-guide-to-natural-language-processing-ai-7506004709d3?source=post_internal_links---------0----------------------------,How Amazon Alexa works? Your guide to Natural Language Processing (AI),,"We can talk to almost all of the smart devices now, but how does it work? When you ask “What song is this?”, what technologies are being used?",671,False,,671,Positive
38,chatgpt AND code,Medium,https://arthirajendran.medium.com/i-built-an-application-using-chatgpt-with-less-than-15-lines-of-code-3fb581d81590,I built an Application using ChatGPT with less than 15 lines of code!,,"If you are hearing the name “ChatGPT” for the very first time, please check out my previous article.",650,False,,650,Positive
39,chatgpt AND code,Medium,https://medium.com/artificial-corner/automating-web-scraping-with-chatgpt-code-interpreter-ec213efd0115,Automating Web Scraping with ChatGPT Code Interpreter,You only need to follow 3 steps to extract data from websites using ChatGPT Code Interpreter.,"In previous articles, I showed you a workaround to scrape websites with ChatGPT and ChatGPT’s Plugin “Scraper.” They’re good but have some limitations and drawbacks.",623,True,,623,Positive
40,chatgpt AND code,Medium,https://louis030195.medium.com/building-a-chatgpt-powered-q-a-for-your-website-in-a-few-lines-of-code-41ecca9eafe3,Building a ChatGPT-powered Q&A for your website in a few lines of code,,Embedbase helps you deploy embeddings-powered applications to the cloud.,615,False,,615,Positive
41,tabnine,Medium,https://keypressingmonkey.medium.com/turn-vs-code-into-the-perfect-writing-tool-a22a136e4360?source=user_profile---------35----------------------------,Turn VS Code Into The Perfect Writing Tool,Because writing code is not where it stops,VS Code is well-known and has done what few others have achieved: Uniting people across the globe to agree on the same tool and praise it high and low.,614,True,,614,Positive
42,copilot,Medium,https://alphaayush.medium.com/i-instructed-github-copilot-to-code-instagram-profile-feed-infinite-scroll-in-react-this-is-a863e7ce3a0d,I instructed GitHub Copilot to code an Instagram profile feed in React. Here’s what happened.,,"I got my hands on GitHub Copilot a month ago, I was already amazed by Copilot crushing Leetcode problems in seconds. The very fact that it is trained upon billions of lines of public code is fascinating. 👀",581,False,,581,Positive
43,chatgpt AND code,Medium,https://sonnyhuynhb.medium.com/build-your-own-chatgpt-using-bubble-ai-with-no-code-6ad7f9792cc0,Build Your Own ChatGPT Type of Tool Using Bubble: AI With No Code,,"GPT-3 (Generative Pre-trained Transformer 3) is a language processing artificial intelligence developed by OpenAI that took the world by storm back in 2020. It has the ability to generate human-like text, perform translations, summarize long texts, and a lot more. A couple of weeks ago OpenAI released ChatGPT is essentially a GPT-3 variation that basically broke the internet. As expected many people are trying to use ChatGPT that its constantly crashing — SO LETS BUILD OUR OWN!!! **EDIT: Folks have pointed out that GPT-3 and ChatGPT are NOT the same model and that is correct. GPT-3 is a massive model with lots and lots of data but isn’t optimized specifically for chat. The real ChatGPT pulls in a lot of fine tuned training data as well as manual labelling of inappropriate data. In addition, chat gpt also does something to the effect of saving all the inputs and outputs that came before it. If you’re interested in diving more into this read on OpenAI’s blog here: https://openai.com/blog/chatgpt/. In this article, we will look at how to use GPT-3 with the Bubble no code application platform to add AI capabilities to your app.",576,True,,576,Positive
44,codewhisperer,Medium,https://gesikowski.medium.com/ai-revolution-ignites-musk-amazon-and-google-transform-the-landscape-29cc1c2ad5fe,"AI Revolution Ignites: Musk, Amazon, and Google Transform the Landscape","From TruthGPT to Med-PaLM2, big players reshape the AI ecosystem","In
a flurry of recent developments, the AI landscape is undergoing a massive transformation, with industry giants like Elon Musk, Amazon, and Google stepping into the ring.",554,True,"Apr 15, 2023",554,Positive
45,chatgpt AND code,Medium,https://gesikowski.medium.com/boost-your-brains-potential-how-to-make-chatgpt-your-ai-twin-without-any-coding-8c479bf7084e,Boost Your Brain’s Potential: How to Make ChatGPT Your AI Twin Without Any Coding!,,Guide to Using ChatGPT with Purpose and Elevating Your Cognitive Abilities,553,True,,553,Positive
46,chatgpt AND code,Medium,https://gesikowski.medium.com/chatgpts-enchanted-code-a-developer-s-ai-quest-e7c5a2d069f4?source=rss-------1,ChatGPT’s Enchanted Code: A Developer’s AI Quest,"The adventures of coding with AI, and why human verification is more crucial than ever.","O
nce upon a time, in a coding world far, far away, Pietro Schirano, design lead at Brex, met the mystical, magical ChatGPT. This AI genie, a product of the GPT-4 architecture, astonished Pietro with its uncanny ability to generate code for classic games like Pong, Asteroids, and Breakout. Pietro was in awe, but he couldn’t shake the unsettling feeling that there was more to this AI than met the eye.",553,True,,553,Positive
47,ai code assistants,Medium,https://medium.com/swlh/kite-vs-tabnine-which-ai-code-autocomplete-should-you-choose-eb6eba85c3a6,Kite VS. TabNine: Which AI Code Autocomplete Should You Choose?,I tested two of the hottest AI code assistant in 2021,"Imagine that when you use a development tool to program, you only need to enter one or two letters, and the tool will auto-generate the following code for you. It sounds like a kind of magic. In recent years, with the development of deep learning, there is no longer a kind of science fiction, and some development tools have already the prototype of such.",508,True,,508,Positive
48,tabnine,Medium,https://medium.com/codex/double-your-speed-in-phpstorm-5756d42cdd28,Double your speed in PHPStorm,,"That’s a big call, but can you really double your speed?",498,False,,498,Positive
49,chatgpt AND code,Medium,https://bigfundu.medium.com/chatgpt-rip-testers-c318c41e3f35,ChatGPT — RIP Testers,,I have been increasingly asked by my team to tell them how ChatGPT will revolutionize (!?) the software development domain.,488,False,,488,Positive
50,chatgpt AND code,Medium,https://salvatore-raieli.medium.com/microsoft-biogpt-towards-the-chatgpt-of-life-science-56e251536af6?source=user_profile---------42----------------------------,Microsoft BioGPT: Towards the ChatGPT of life science?,BioGPT achieves the SOTA in different biomedical NLP tasks,"The use of language models (LMs) has exploded in recent years, and ChatGPT is just the tip of the iceberg. ChatGPT has been used to write code, recipes, or even sonnets and poems. All noble purposes, but there is also a huge scientific literature, so why not exploit this vast amount of textual data?",471,True,,471,Positive
51,chatgpt AND code,Medium,https://medium.com/towards-data-science/chatgpt-code-interpreter-how-it-saved-me-hours-of-work-3c65a8dfa935,ChatGPT Code Interpreter: How It Saved Me Hours of Work,Creating an interactive world map of country populations with a couple of sentences.,"On July 6th, 2023, OpenAI announced that Code Interpreter will be available to ChatGPT Plus users over the next week. It might be the greatest of all plugins that enhance the power and capabilities of ChatGPT.",470,True,,470,Positive
52,chatgpt AND code,Medium,https://medium.com/gitconnected/im-a-programmer-here-s-how-i-m-using-chatgpt-to-code-no-bs-c4e786f0c9f2,"I’m A Programmer, Here’s How I’m Using ChatGPT to Code — No BS",From learning quickly to debugging and even automating tedious work.,"Let’s be honest, everyone wants to succeed, right?",469,True,,469,Positive
53,chatgpt AND code,Medium,https://medium.com/@davidroliver/how-to-create-diagrams-with-chatgpt-19099de795ce,How to Create Diagrams With ChatGPT,No in-depth knowledge of Mermaid script needed,"As we learned in my previous article, ChatGPT and Software Architecture, ChatGPT can create diagrams using Mermaid script.",466,True,,466,Positive
54,chatgpt AND code,Medium,https://nitinfab.medium.com/no-more-chatgpt-build-your-own-ai-with-openai-73a5c087b660,No More ChatGPT: Build Your Own AI With OpenAI,"A step-by-step guide to creating a Node.js app that generates code, images, and text-based responses.",Let’s be honest.,446,True,,446,Positive
55,ai code assistants,Medium,https://lucas-soares.medium.com/cogram-ai-a-coding-assistant-for-data-science-and-machine-learning-f236379b829e,Cogram.ai: A Coding Assistant for Data Science and Machine Learning,Codex powered autocompletions for data science and machine learning that run on jupyter notebooks,"Since the publication and dissemination of GPT-3, coding assistants like Github copilot, powered by OpenAi’s codex API have been on the radar of the machine learning community for quite a while. Recently, I came across this tool called Cogram, which seems to be a type of evolution of autocompletion, specialized for data science and machine learning that runs directly on Jupyter Notebooks.",433,True,,433,Positive
56,ai code assistants,Medium,https://neowei.medium.com/top-5-ai-audio-generators-of-2023-65109e519cd2,Top 5 AI Audio Generators of 2023,,This article is an instalment of “Top Generative AI Tools of 2023” series.,422,False,,422,Positive
57,codewhisperer,Medium,https://jrodthoughts.medium.com/inside-starcoder-the-new-open-source-llm-that-can-generative-code-in-over-80-programming-languages-12aab76800da,Inside StarCoder: The New Open Source LLM that Can Generative Code in Over 80 Programming Languages,The new project is part of the BigCode initiative by Hugging Face and ServiceNow.,"Coding is one of the most interesting applications of modern large language models(LLMs). Programming is a problem significatively more complex than other language tasks given that it involves different forms of reasoning. However, progress in this area has been clearly visible in the last few years.",414,True,"May 08, 2023",414,Positive
58,chatgpt AND code,Medium,https://frank-andrade.medium.com/how-id-learn-to-code-if-i-could-start-over-ft-chatgpt-eeb4108edb8f?source=user_profile---------24----------------------------,How I’d Learn to Code If I Could Start Over (ft. ChatGPT),Here’s how I’d learn to code in 2023.,2023 is a good year to learn to code.,403,True,,403,Positive
59,copilot,Medium,https://medium.com/codex/copilot-is-not-worth-10-a-month-e943b5be4ede,Copilot is NOT worth $10 a Month,,"GitHub’s Copilot service recently made its public debut after months of being a whitelisted beta. I was lucky enough to be accepted to the whitelist very early on, and so I’ve had a lot of time to form opinions on the service, its shortcomings and surprising benefits. Now that the service is public (and Microsoft thinks it’s ok to charge $10 a month for this service) here are my thoughts on whether or not Copilot is worth your time (and money).",382,True,"Jul 02, 2022",382,Positive
60,copilot,Medium,https://plazagonzalo.medium.com/how-to-get-github-copilot-for-free-2f2e4ebabb8e,How to get Github Copilot for free,Are you a student or an open source maintainer? Then you are eligible to get Github Copilot for free!,"GitHub Copilot, the AI pair programmer that suggests code in your editor, was made available to all developers two months ago. Copilot can suggest complete methods, boilerplate code, whole unit tests, and even complex algorithms in real-time. Are you interested in it? GitHub Copilot costs $10/month or $100/year per user, but GitHub offers a 60 days trial to everyone by signing in at the following link.",382,True,"Aug 23, 2022",382,Positive
61,chatgpt AND code,Medium,https://medium.com/@smraiyyan/chatgpt-code-interpreter-15-impressive-real-world-scenarios-119a9cb036b1,ChatGPT Code Interpreter: 15 Impressive Real-world Scenarios,Most powerful feature OpenAI has released since GPT-4,1. Segment your customers quickly: It uses a data sheet and then automatically groups different parts of the music market.,380,True,,380,Positive
62,codewhisperer,Medium,https://medium.com/@vidipmalhotra/your-aws-code-companion-450aa43b2656,Your AI-based AWS Code Companion 🌟,,ML powered Automatic Code Completion,371,True,,371,Positive
63,copilot,Medium,https://medium.com/bricksnbrackets/github-copilot-crash-boom-bang-afbfcdc8c591,"GitHub Copilot — Crash, Boom, Bang!","I tried it, it’s not for you, and I have some very strong opinions on why that is…","S
eriously. I cannot make heads or tails of this any more. Software developers all over the world write downright religious documents about clean code, software development paradigms, argue about the validity of an if statement and maps over for loops. Entire forests’ worth of books about virtually anything and everything to make writing code better, more efficient, easier to read, more accessible, more secure, etc. In fact, coding has now become a more popular term than programming, and yet, somehow, every year someone comes up with a project to automate coding.",366,True,"Jul 04, 2022",366,Positive
64,chatgpt AND code,Medium,https://michaellong.medium.com/chatgpt-vs-swiftui-febc24c6d8a,ChatGPT Does SwiftUI,"Not that I’m worried, but…",ChatGPT is a demonstration project by OpenAI that can converse on a number of topics. Including programming.,364,True,,364,Positive
65,tabnine,Medium,https://hsmnzaydn.medium.com/kulland%C4%B1%C4%9F%C4%B1m-android-studio-eklentileri-ve-ara%C3%A7lar%C4%B1-b15d3e384d8e,Kullandığım Android Studio Eklenti Ve Araçları,,"Merhaba, bu yazımda tüm projelerimde kullandığım Android Studio eklentileri ve uygulama geliştirirken kullandığım online araçlar ile geliştirme yaparken kullandığım kütüphanelerden bahsedeceğim.",363,False,,363,Positive
66,tabnine,Medium,https://richardso21.medium.com/5-underrated-vscode-extensions-to-start-using-today-9a7399105963?source=user_profile---------15----------------------------,5 Underrated VSCode Extensions to Start Using Today,I bet there’s at least one here you haven’t seen yet…,"Visual Studio Code (VSCode) has become one of the most popular code editors for a few years already. In fact, it’s been considered by many (including me) as an IDE, thanks to the huge catalog of extensions that VSCode has to offer.",358,False,,358,Positive
67,copilot,Medium,https://emeryberger.medium.com/coping-with-copilot-b2b59671e516,Coping with Copilot,CS educators: AI-based developer tools are gunning for your assignments. Resistance is futile,"G
itHub’s AI-based Copilot tool went public this summer. It’s an amazing tool for software developers. But students armed with it will be bringing Uzis to a knife fight.",357,True,"Aug 09, 2022",357,Positive
68,chatgpt AND code,Medium,https://aruva.medium.com/100-chatgpt-prompts-for-software-developers-752779a95abe,100+ ChatGPT Prompts for Software Developers,,"As a software developer, you know that your work involves more than just developing ideas for your projects. You also need to analyze data, design systems, write code, and test and debug your software. However, these tasks can also be challenging and time-consuming, especially if you’re stuck and don’t know where to start. This is where ChatGPT comes in. ChatGPT is a language model that uses artificial intelligence to generate text based on user prompts. It can help you not only with ideation but also with other aspects of software development, such as analysis, design, coding, and testing. In this blog post, we share some of our favourite prompts.",355,True,,355,Positive
69,copilot,Medium,https://shakthi011001.medium.com/is-github-co-pilot-a-boon-or-bane-9936aae1c05d,Is GitHub Copilot a boon or bane?,,"OpenAI and Microsoft have collaborated to release a preview of GitHub Copilot, an AI-based Code Generation tool that helps developers write well-optimized code. Copilot works in such a way that it takes context from the code, coded on the IDE, and suggests the whole lines and functions for the task to be performed.",344,False,"Jul 25, 2021",344,Positive
70,copilot,Medium,https://doctorderek.medium.com/27-hilarious-code-comments-suggested-by-github-copilot-b507f3ab78fb?source=user_profile---------38----------------------------,27 Hilarious Code Comments Suggested By GitHub Copilot,"GitHub Copilot is hilarious, and I love it. These are all real suggestions that I’ve seen while using GitHub Copilot in VS Code.","Have you tried GitHub Copilot yet? Love it or hate it, it has some hilarious comment auto-suggestions. Enjoy this “just for fun” programming article.",343,True,"Aug 16, 2022",343,Positive
71,ai code assistants,Medium,https://michallangmajer.medium.com/gpt-4-app-prototyping-how-i-built-a-voice-assistant-app-in-60-minutes-6a006dfffc11,GPT-4 App Prototyping: How I Built a Voice Assistant App in 60 Minutes,,Edit: Read my latest article on how I challenged myself to get app built by GPT-4 to macOS App Store.,340,False,,340,Positive
72,chatgpt AND code,Medium,https://clementbourcart.medium.com/heres-how-to-10x-your-coding-skills-with-chatgpt-8c7bbdb792d8?source=user_profile---------1----------------------------,Here’s How to 10X Your Coding Skills With ChatGPT,,Do you routinely spend hours crawling through Google sites and StackOverflow to find answers to your technical queries and solutions to bugs?,339,True,,339,Positive
